kind,x,y,units,facing,note
coin,10,5,tile,,
coin,11,5,tile,,
coin,12,5,tile,,
coin,13,5,tile,,
coin,66,3,tile,,
coin,67,3,tile,,
coin,68,3,tile,,
coin,69,3,tile,,
coin,74,5,tile,,
coin,74,6,tile,,
coin,74,7,tile,,
coin,74,8,tile,,
coin,82,7,tile,,
coin,83,8,tile,,
coin,84,7,tile,,
coin,85,8,tile,,
coin,86,7,tile,,
coin,87,8,tile,,
coin,88,7,tile,,
coin,89,8,tile,,
food,448,160,pixel,,14*32,5*32
enemy,3,8,tile,1,
enemy,18,7,tile,-1,
enemy,25,7,tile,1,
enemy,28,8,tile,-1,
enemy,33,8,tile,-1,
enemy,39,8,tile,1,
enemy,68,3,tile,1,
enemy,66,8,tile,-1,
enemy,81,6,tile,1,
enemy,92,6,tile,1,
