x,y,id,x_amount,y_amount,note
18,9,2,4,1,cloud
23,6,2,6,1,cloud
25,3,2,3,1,cloud
31,10,2,2,1,cloud
39,7,2,1,1,cloud
39,4,2,1,1,cloud
96,7,2,2,1,cloud
99,5,2,2,1,cloud
102,3,2,12,1,cloud_runway
0,10,5,15,1,snow_top
38,10,5,10,1,snow_top
50,10,5,1,1,snow_top
53,10,5,1,1,snow_top
56,10,5,1,1,snow_top
61,10,5,10,1,snow_top
75,10,5,1,1,snow_top
82,10,5,11,1,snow_top
0,11,4,15,2,snow_sub
38,11,4,10,2,snow_sub
50,11,4,1,2,snow_sub
53,11,4,1,2,snow_sub
56,11,4,1,2,snow_sub
61,11,4,10,2,snow_sub
75,11,4,1,2,snow_sub
82,11,4,11,2,snow_sub
67,9,2,1,1,cloud_stair
68,8,2,1,2,cloud_stair
69,7,2,1,3,cloud_stair
70,6,2,1,4,cloud_stair
75,6,2,1,4,cloud_pillar
42,8,11,1,1,scenery_grass_dropped_by_MAP_NUMBER
111,1,12,1,1,goal_sign_dropped_by_MAP_NUMBER
4,8,14,1,1,tree_dropped_by_MAP_NUMBER
9,8,14,1,1,tree_dropped_by_MAP_NUMBER
83,8,14,1,1,tree_dropped_by_MAP_NUMBER
89,8,14,1,1,tree_dropped_by_MAP_NUMBER
