# tileX,tileY,id,xAmount,yAmount,name,kept_in_30
0,9,1,15,1,grass-surface,yes
18,8,1,9,1,grass-surface,yes
27,9,5,37,1,snow-surface,yes
67,9,6,4,1,pipe-mid,yes
74,9,5,1,1,snow-surface,yes
78,9,1,28,1,grass-surface,yes
0,10,3,15,2,dirt,yes
18,9,3,9,3,dirt,yes
27,10,4,37,2,snow-under,yes
67,10,3,4,2,dirt,yes
74,10,4,1,2,snow-under,yes
78,10,3,28,2,dirt,yes
10,6,2,4,1,cloud,yes
40,4,2,3,1,cloud,yes
62,6,2,1,1,cloud,yes
65,4,2,5,1,cloud,yes
36,7,10,1,1,pipe-mouth-up,yes
45,7,10,1,1,pipe-mouth-up,yes
80,7,10,1,1,pipe-mouth-up,yes
90,7,10,1,1,pipe-mouth-up,yes
19,6,11,1,1,bg-grass,yes
23,6,11,1,1,bg-grass,yes
32,7,11,1,1,bg-grass,yes
49,7,11,1,1,bg-grass,yes
53,7,11,1,1,bg-grass,yes
57,7,11,1,1,bg-grass,yes
93,7,11,1,1,bg-grass,yes
101,7,12,1,1,victory-sign,yes
15,10,13,1,1,water,yes
64,10,13,1,1,water,yes
71,10,13,1,1,water,no
75,10,13,1,1,water,no
